A,S1
Wavelength,S1
nm,Microvolts
4150,4910
4150.5,4910
4151,4898
4151.5,4880
4152,4890
4152.5,4880
4153,4875
4153.5,4853
4154,4823
4154.5,4805
4155,4818
4155.5,4825
4156,4835
4156.5,4825
4157,4803
4157.5,4793
4158,4790
4158.5,4803
4159,4813
4159.5,4810
4160,4803
4160.5,4803
4161,4788
4161.5,4788
4162,4790
4162.5,4778
4163,4763
4163.5,4755
4164,4783
4164.5,4783
4165,4770
4165.5,4770
4166,4763
4166.5,4755
4167,4758
4167.5,4775
4168,4775
4168.5,4770
4169,4755
4169.5,4743
4170,4753
4170.5,4753
4171,4750
4171.5,4743
4172,4738
4172.5,4750
4173,4745
4173.5,4733
4174,4720
4174.5,4715
4175,4708
4175.5,4718
4176,4728
4176.5,4743
4177,4758
4177.5,4763
4178,4753
4178.5,4758
4179,4750
4179.5,4738
4180,4713
4180.5,4695
4181,4705
4181.5,4713
4182,4703
4182.5,4688
4183,4678
4183.5,4680
4184,4688
4184.5,4693
4185,4695
4185.5,4705
4186,4713
4186.5,4738
4187,4740
4187.5,4720
4188,4700
4188.5,4690
4189,4700
4189.5,4705
4190,4705
4190.5,4700
4191,4693
4191.5,4690
4192,4688
4192.5,4675
4193,4665
4193.5,4665
4194,4663
4194.5,4653
4195,4665
4195.5,4650
4196,4633
4196.5,4625
4197,4605
4197.5,4578
4198,4568
4198.5,4565
4199,4540
4199.5,4513
4200,4513
4200.5,4503
4201,4500
4201.5,4458
4202,4425
4202.5,4400
4203,4380
4203.5,4365
4204,4350
4204.5,4313
4205,4283
4205.5,4255
4206,4220
4206.5,4175
4207,4143
4207.5,4113
4208,4093
4208.5,4058
4209,3990
4209.5,3935
4210,3885
4210.5,3855
4211,3815
4211.5,3768
4212,3718
4212.5,3660
4213,3608
4213.5,3543
4214,3493
4214.5,3453
4215,3408
4215.5,3358
4216,3283
4216.5,3228
4217,3170
4217.5,3105
4218,3045
4218.5,2988
4219,2933
4219.5,2873
4220,2793
4220.5,2738
4221,2673
4221.5,2595
4222,2533
4222.5,2480
4223,2425
4223.5,2375
4224,2333
4224.5,2290
4225,2220
4225.5,2158
4226,2128
4226.5,2088
4227,2020
4227.5,1973
4228,1933
4228.5,1888
4229,1845
4229.5,1795
4230,1740
4230.5,1700
4231,1653
4231.5,1600
4232,1585
4232.5,1560
4233,1530
4233.5,1510
4234,1473
4234.5,1430
4235,1388
4235.5,1378
4236,1355
4236.5,1310
4237,1275
4237.5,1243
4238,1223
4238.5,1200
4239,1193
4239.5,1173
4240,1140
4240.5,1115
4241,1090
4241.5,1078
4242,1063
4242.5,1053
4243,1050
4243.5,1030
4244,1028
4244.5,1023
4245,998
4245.5,980
4246,980
4246.5,965
4247,953
4247.5,935
4248,948
4248.5,968
4249,965
4249.5,948
4250,940
4250.5,943
4251,953
4251.5,965
4252,978
4252.5,990
4253,998
4253.5,988
4254,1005
4254.5,1025
4255,1048
4255.5,1075
4256,1098
4256.5,1115
4257,1123
4257.5,1140
4258,1160
4258.5,1175
4259,1213
4259.5,1253
4260,1305
4260.5,1328
4261,1340
4261.5,1378
4262,1403
4262.5,1425
4263,1450
4263.5,1465
4264,1515
4264.5,1553
4265,1573
4265.5,1598
4266,1620
4266.5,1640
4267,1675
4267.5,1700
4268,1740
4268.5,1770
4269,1798
4269.5,1813
4270,1833
4270.5,1838
4271,1838
4271.5,1833
4272,1840
4272.5,1820
4273,1810
4273.5,1788
4274,1770
4274.5,1740
4275,1720
4275.5,1698
4276,1685
4276.5,1690
4277,1663
4277.5,1665
4278,1638
4278.5,1598
4279,1568
4279.5,1563
4280,1543
4280.5,1518
4281,1510
4281.5,1493
4282,1485
4282.5,1455
4283,1428
4283.5,1418
4284,1405
4284.5,1398
4285,1393
4285.5,1378
4286,1378
4286.5,1378
4287,1393
4287.5,1400
4288,1393
4288.5,1390
4289,1373
4289.5,1368
4290,1373
4290.5,1375
4291,1375
4291.5,1363
4292,1355
4292.5,1375
4293,1380
4293.5,1388
4294,1390
4294.5,1385
4295,1410
4295.5,1435
4296,1440
4296.5,1425
4297,1438
4297.5,1465
4298,1465
4298.5,1468
4299,1473
4299.5,1478
4300,1480
4300.5,1473
4301,1488
4301.5,1488
4302,1488
4302.5,1480
4303,1473
4303.5,1490
4304,1505
4304.5,1515
4305,1518
4305.5,1523
4306,1535
4306.5,1548
4307,1568
4307.5,1565
4308,1555
4308.5,1573
4309,1600
4309.5,1603
4310,1620
4310.5,1638
4311,1648
4311.5,1660
4312,1653
4312.5,1663
4313,1678
4313.5,1688
4314,1695
4314.5,1700
4315,1713
4315.5,1725
4316,1745
4316.5,1763
4317,1790
4317.5,1803
4318,1833
4318.5,1850
4319,1873
4319.5,1875
4320,1883
4320.5,1895
4321,1913
4321.5,1940
4322,1973
4322.5,1973
4323,2008
4323.5,2040
4324,2065
4324.5,2085
4325,2108
4325.5,2125
4326,2163
4326.5,2188
4327,2203
4327.5,2233
4328,2245
4328.5,2265
4329,2300
4329.5,2323
4330,2325
4330.5,2345
4331,2370
4331.5,2378
4332,2393
4332.5,2410
4333,2460
4333.5,2475
4334,2488
4334.5,2508
4335,2520
4335.5,2543
4336,2570
4336.5,2588
4337,2610
4337.5,2618
4338,2658
4338.5,2698
4339,2723
4339.5,2735
4340,2760
4340.5,2783
4341,2785
4341.5,2800
4342,2813
4342.5,2825
4343,2835
4343.5,2873
4344,2918
4344.5,2943
4345,2963
4345.5,2983
4346,3005
4346.5,3020
4347,3030
4347.5,3060
4348,3085
4348.5,3108
4349,3135
4349.5,3163
4350,3190
4350.5,3195
4351,3205
4351.5,3208
4352,3210
4352.5,3240
4353,3255
4353.5,3270
4354,3308
4354.5,3345
4355,3370
4355.5,3365
4356,3365
4356.5,3370
4357,3383
4357.5,3405
4358,3440
4358.5,3465
4359,3465
4359.5,3465
4360,3458
4360.5,3470
4361,3493
4361.5,3505
4362,3528
4362.5,3535
4363,3543
4363.5,3548
4364,3553
4364.5,3553
4365,3560
4365.5,3558
4366,3580
4366.5,3593
4367,3583
4367.5,3598
4368,3618
4368.5,3623
4369,3643
4369.5,3655
4370,3655
4370.5,3658
4371,3670
4371.5,3683
4372,3683
4372.5,3683
4373,3695
4373.5,3703
4374,3710
4374.5,3728
4375,3733
4375.5,3733
4376,3730
4376.5,3720
4377,3733
4377.5,3743
4378,3755
4378.5,3770
4379,3768
4379.5,3768
4380,3743
4380.5,3753
4381,3768
4381.5,3798
4382,3803
4382.5,3798
4383,3833
4383.5,3848
4384,3830
4384.5,3818
4385,3805
4385.5,3820
4386,3853
4386.5,3853
4387,3855
4387.5,3853
4388,3845
4388.5,3828
4389,3833
4389.5,3840
4390,3855
4390.5,3845
4391,3833
4391.5,3840
4392,3853
4392.5,3865
4393,3860
4393.5,3855
4394,3870
4394.5,3878
4395,3898
4395.5,3898
4396,3908
4396.5,3893
4397,3880
4397.5,3883
4398,3883
4398.5,3878
4399,3868
4399.5,3860
4400,3855
