A,S1
Wavelength,S1
nm,Microvolts
1000,400
1010,240
1020,143
1030,100
1040,75
1050,65
1060,33
1070,8
1080,-8
1090,-20
1100,-18
1110,0
1120,0
1130,8
1140,25
1150,20
1160,20
1170,33
1180,40
1190,43
1200,33
1210,20
1220,18
1230,15
1240,15
1250,13
1260,13
1270,33
1280,55
1290,53
1300,43
1310,38
1320,45
1330,65
1340,68
1350,78
1360,90
1370,105
1380,125
1390,128
1400,125
1410,115
1420,128
1430,138
1440,163
1450,183
1460,188
1470,203
1480,220
1490,228
1500,233
1510,255
1520,295
1530,293
1540,295
1550,315
1560,338
1570,350
1580,368
1590,383
1600,375
1610,395
1620,433
1630,445
1640,468
1650,480
1660,500
1670,538
1680,558
1690,578
1700,580
1710,600
1720,628
1730,638
1740,653
1750,655
1760,650
1770,633
1780,633
1790,655
1800,700
1810,743
1820,798
1830,855
1840,875
1850,880
1860,888
1870,900
1880,923
1890,950
1900,965
1910,998
1920,1023
1930,1040
1940,1048
1950,1078
1960,1123
1970,1178
1980,1205
1990,1225
2000,1248
2010,1265
2020,1313
2030,1340
2040,1353
2050,1373
2060,1393
2070,1430
2080,1448
2090,1468
2100,1490
2110,1515
2120,1530
2130,1565
2140,1568
2150,1580
2160,1600
2170,1648
2180,1675
2190,1713
2200,1728
2210,1750
2220,1773
2230,1798
2240,1833
2250,1850
2260,1873
2270,1885
2280,1883
2290,1890
2300,1890
2310,1915
2320,1938
2330,1960
2340,1988
2350,1998
2360,2015
2370,2058
2380,2065
2390,2065
2400,2090
2410,2115
2420,2128
2430,2135
2440,2150
2450,2163
2460,2163
2470,2175
2480,2208
2490,2208
2500,2213
2510,2213
2520,2235
2530,2238
2540,2220
2550,2198
2560,2175
2570,2125
2580,2035
2590,1948
2600,1873
2610,1800
2620,1728
2630,1745
2640,1758
2650,1810
2660,1915
2670,1953
2680,1858
2690,1733
2700,1648
2710,1683
2720,1758
2730,1790
2740,1753
2750,1723
2760,1700
2770,1678
2780,1625
2790,1608
2800,1653
2810,1708
2820,1763
2830,1788
2840,1813
2850,1848
2860,1883
2870,1923
2880,1978
2890,2045
2900,2090
2910,2133
2920,2158
2930,2158
2940,2178
2950,2190
2960,2190
2970,2200
2980,2185
2990,2170
3000,2160
3010,2150
3020,2140
3030,2148
3040,2138
3050,2110
3060,2123
3070,2133
3080,2120
3090,2110
3100,2120
3110,2125
3120,2125
3130,2120
3140,2113
3150,2110
3160,2085
3170,2078
3180,2078
3190,2083
3200,2073
3210,2050
3220,2035
3230,2033
3240,2000
3250,2003
3260,1990
3270,1958
3280,1953
3290,1963
3300,1953
3310,1935
3320,1938
3330,1945
3340,1940
3350,1965
3360,1970
3370,1950
3380,1938
3390,1923
3400,1913
3410,1910
3420,1895
3430,1873
3440,1865
3450,1838
3460,1835
3470,1825
3480,1835
3490,1828
3500,1833
3510,1823
3520,1820
3530,1808
3540,1790
3550,1800
3560,1810
3570,1795
3580,1788
3590,1775
3600,1778
3610,1773
3620,1770
3630,1788
3640,1770
3650,1758
3660,1760
3670,1770
3680,1745
3690,1733
3700,1733
3710,1733
3720,1735
3730,1723
3740,1713
3750,1708
3760,1708
3770,1678
3780,1658
3790,1648
3800,1638
3810,1640
3820,1638
3830,1660
3840,1663
3850,1650
3860,1638
3870,1633
3880,1628
3890,1613
3900,1588
3910,1600
3920,1595
3930,1588
3940,1580
3950,1575
3960,1593
3970,1593
3980,1585
3990,1575
4000,1575
4010,1540
4020,1525
4030,1503
4040,1475
4050,1485
4060,1500
4070,1500
4080,1503
4090,1480
4100,1468
4110,1443
4120,1450
4130,1465
4140,1460
4150,1460
4160,1460
4170,1438
4180,1423
4190,1403
4200,1373
4210,1268
4220,1118
4230,913
4240,715
4250,538
4260,445
4270,455
4280,453
4290,418
4300,418
4310,428
4320,455
4330,538
4340,625
4350,705
4360,810
4370,905
4380,975
4390,1013
4400,1048
4410,1075
4420,1063
4430,1073
4440,1065
4450,1065
4460,1043
4470,1048
4480,1035
4490,1013
4500,1003
