A,S1
Wavelength,S1
nm,Microvolts
3140,715.5
3140.5,778.5
3141,814.8
3141.5,815.3
3142,820.5
3142.5,795
3143,786
3143.5,787.3
3144,778.5
3144.5,776
3145,793
3145.5,811
3146,826
3146.5,844.8
3147,826.8
3147.5,828.8
3148,812.3
3148.5,807.3
3149,810
3149.5,811.3
3150,813.8
3150.5,824.3
3151,853
3151.5,844.8
3152,826
3152.5,813.8
3153,806.8
3153.5,810
3154,801.3
3154.5,812.8
3155,810.5
3155.5,812.3
3156,806.5
3156.5,806
3157,773.8
3157.5,773.8
3158,771.5
3158.5,778.5
3159,780.5
3159.5,786.3
3160,779.8
3160.5,778.5
3161,786.5
3161.5,784
3162,796.5
3162.5,792.8
3163,795
3163.5,793
3164,761.5
3164.5,744.8
3165,761.8
3165.5,773
3166,778.8
3166.5,778
3167,774.3
3167.5,763.8
3168,771.8
3168.5,752.3
3169,771
3169.5,760.3
3170,766.8
3170.5,774.8
3171,762.5
3171.5,764.8
3172,759.8
3172.5,746.3
3173,734
3173.5,743
3174,742.8
3174.5,721
3175,714
3175.5,718.8
3176,707.5
3176.5,721.5
3177,727.3
3177.5,721.3
3178,746
3178.5,746.5
3179,719
3179.5,694.5
3180,708
3180.5,721.3
3181,732.5
3181.5,717.5
3182,704.3
3182.5,706.5
3183,687.5
3183.5,682.8
3184,679.5
3184.5,680.8
3185,667
3185.5,653
3186,657
3186.5,663.8
3187,670.5
3187.5,677.8
3188,666.3
3188.5,671.3
3189,679.3
3189.5,674.3
3190,658
3190.5,640
3191,631.8
3191.5,647.5
3192,637.3
3192.5,624
3193,628.3
3193.5,616
3194,616.5
3194.5,646.8
3195,642.8
3195.5,641.3
3196,624.8
3196.5,600.8
3197,606.8
3197.5,616.8
3198,616
3198.5,610.3
3199,596
3199.5,605.3
3200,616.5
3200.5,628.5
3201,626.5
3201.5,621
3202,624.3
3202.5,594.3
3203,598.5
3203.5,590.5
3204,588
3204.5,593.3
3205,581.5
3205.5,577.8
3206,576.5
3206.5,584.3
3207,579
3207.5,553.8
3208,553
3208.5,556.8
3209,548.3
3209.5,548.8
3210,552.3
3210.5,562.8
3211,553.3
3211.5,556
3212,548.3
3212.5,546.3
3213,543
3213.5,544.8
3214,540.5
3214.5,514.5
3215,515.5
3215.5,510.5
3216,505
3216.5,493.8
3217,470.8
3217.5,482.3
3218,475
3218.5,474.3
3219,474.5
3219.5,465.5
3220,458.3
3220.5,467.5
3221,493
3221.5,515
3222,513.5
3222.5,495.5
3223,491
3223.5,460.8
3224,448.3
3224.5,461
3225,465.8
3225.5,465.8
3226,468
3226.5,459.8
3227,460.5
3227.5,463
3228,458.5
3228.5,462
3229,471
3229.5,475.5
3230,475.5
3230.5,463.3
3231,450.8
3231.5,446.8
3232,473
3232.5,472
3233,470.8
3233.5,477.3
3234,473
3234.5,472.3
3235,473.8
3235.5,458
3236,446.3
3236.5,439.3
3237,447
3237.5,425
3238,412.5
3238.5,423.5
3239,424.3
3239.5,432.3
3240,423.5
3240.5,410
3241,408
3241.5,423.3
3242,427
3242.5,423
3243,413
3243.5,433.5
3244,430.5
3244.5,414.3
3245,405.5
3245.5,411
3246,395.8
3246.5,383.8
3247,377.8
3247.5,365.8
3248,354.5
3248.5,364.8
3249,378.3
3249.5,377.8
3250,373.3
3250.5,345.3
3251,351.3
3251.5,363.8
3252,370.8
3252.5,358.5
3253,345
3253.5,356
3254,361.3
3254.5,361.5
3255,387.8
3255.5,396
3256,395.8
3256.5,396
3257,394.8
3257.5,390.3
3258,386.3
3258.5,389
3259,394.8
3259.5,383.5
3260,402
3260.5,400.5
3261,383.3
3261.5,382.3
3262,372.3
3262.5,387.8
3263,403.8
3263.5,405.5
3264,408.5
3264.5,409.3
3265,400.8
3265.5,391.5
3266,398.8
3266.5,395
3267,372.5
3267.5,355
3268,347
3268.5,347
3269,360.8
3269.5,382.8
3270,377.8
3270.5,372.8
3271,403
3271.5,407.5
3272,426.3
3272.5,443
3273,436.8
3273.5,423.3
3274,423.3
3274.5,426.8
3275,414.3
3275.5,410.8
3276,417
3276.5,419.3
3277,428.5
3277.5,466
3278,468
3278.5,457
3279,463.8
3279.5,442.3
3280,448
3280.5,447.5
3281,446
3281.5,455.5
3282,453
3282.5,452.5
3283,450.5
3283.5,469.8
3284,470.5
3284.5,499.3
3285,513
3285.5,493.5
3286,483
3286.5,471
3287,461.8
3287.5,454.3
3288,491.8
3288.5,503
3289,516
3289.5,528
3290,539.5
3290.5,544.5
3291,549.3
3291.5,552.3
3292,528.8
3292.5,520.5
3293,541.3
3293.5,553.8
3294,575.3
3294.5,573
3295,571.8
3295.5,546.8
3296,572.8
3296.5,580.5
3297,577.3
3297.5,589.5
3298,602
3298.5,598.3
3299,582.3
3299.5,580.5
3300,583.3
3300.5,608.3
3301,617.8
3301.5,613.5
3302,620.5
3302.5,644
3303,626.5
3303.5,629
3304,627.3
3304.5,611
3305,586.8
3305.5,587.8
3306,605.3
3306.5,608.3
3307,624.3
3307.5,627.3
3308,609.8
3308.5,596.5
3309,588
3309.5,576
3310,575.5
3310.5,601.5
3311,593
3311.5,609.8
3312,589.8
3312.5,586
3313,561.5
3313.5,556
3314,548.5
3314.5,525.8
3315,526.3
3315.5,523.8
3316,511.3
3316.5,475
3317,470.5
3317.5,468.8
3318,451.8
3318.5,433.5
3319,410.8
3319.5,395.3
3320,396
3320.5,375.3
3321,367
3321.5,360
3322,319.8
3322.5,276
3323,232.8
3323.5,230.5
3324,216.5
3324.5,193.5
3325,190.5
3325.5,180
3326,158.8
3326.5,153.8
3327,133
3327.5,111.3
3328,94
3328.5,107.8
3329,99.3
3329.5,82.5
3330,75
3330.5,74
3331,63
3331.5,53.8
3332,51.3
3332.5,38.3
3333,29.3
3333.5,45
3334,69
3334.5,91
3335,129.8
3335.5,141.5
3336,145.3
3336.5,156.8
3337,155.3
3337.5,158
3338,175.3
3338.5,187.3
3339,187.5
3339.5,206
3340,237.5
3340.5,258.8
3341,267
3341.5,275.8
3342,291.5
3342.5,307
3343,319.8
3343.5,329.8
3344,344.8
3344.5,362
3345,382.5
3345.5,388.5
3346,397.5
3346.5,408
3347,393.5
3347.5,413
3348,446.3
3348.5,442.5
3349,438
3349.5,452
3350,464.5
3350.5,486.8
3351,506.3
3351.5,506.8
3352,496.8
3352.5,493.8
3353,499.5
3353.5,495.5
3354,473.5
3354.5,475.5
3355,471.8
3355.5,487
3356,473.8
3356.5,447
3357,451
3357.5,464.5
3358,465.5
3358.5,448.5
3359,447
3359.5,453.5
3360,457
3360.5,446.8
3361,430
3361.5,428
3362,431.8
3362.5,446.8
3363,451.8
3363.5,452.3
3364,438.5
3364.5,445
3365,435
3365.5,418.8
3366,411.8
3366.5,401.8
3367,411.8
3367.5,409.3
3368,373.5
3368.5,370.3
3369,343.8
3369.5,342.3
3370,362
3370.5,354.5
3371,356.5
3371.5,374
3372,388.8
3372.5,381
3373,380
3373.5,384.8
3374,371.3
3374.5,397
3375,386
3375.5,364.5
3376,375.8
3376.5,353.3
3377,372.3
3377.5,377
3378,361.3
3378.5,361.3
3379,357.5
3379.5,340.8
3380,329.5
3380.5,324.8
3381,318.8
3381.5,329.8
3382,332.8
3382.5,340.3
3383,343.5
3383.5,350
3384,352
3384.5,343.8
3385,336.5
3385.5,337.8
3386,344
3386.5,332.5
3387,323.3
3387.5,307.8
3388,318.8
3388.5,327.5
3389,328.3
3389.5,311
3390,307
3390.5,320.8
3391,318.5
3391.5,304
3392,292.8
3392.5,281
3393,268.3
3393.5,261
3394,262.5
3394.5,266.5
3395,292.5
3395.5,306.3
3396,303.8
3396.5,291.3
3397,270
3397.5,262
3398,271.5
3398.5,253.3
3399,258.3
3399.5,251.3
3400,248.8
3400.5,254.8
3401,267.8
3401.5,272
3402,281.5
3402.5,276
3403,270
3403.5,265.8
3404,260.8
3404.5,279.5
3405,295
3405.5,279.8
3406,273.8
3406.5,262
3407,254.8
3407.5,262.5
3408,275.3
3408.5,272
3409,268.3
3409.5,260.3
3410,256
3410.5,231.5
3411,233.5
3411.5,242
3412,240
3412.5,246
3413,244
3413.5,256.3
3414,248.3
3414.5,245.8
3415,246.3
3415.5,243.3
3416,236.5
3416.5,222.5
3417,221.5
3417.5,225.5
3418,226
3418.5,225.3
3419,224.8
3419.5,203
3420,198
3420.5,211.5
3421,209.8
3421.5,204
3422,224.8
3422.5,233
3423,231
3423.5,240.8
3424,227.8
3424.5,223.8
3425,206
3425.5,228
3426,235
3426.5,226.5
3427,228.8
3427.5,231.8
3428,206
3428.5,225.3
3429,226.5
3429.5,228.8
3430,213
3430.5,192.3
3431,171.5
3431.5,184
3432,198.5
3432.5,201
3433,211.5
3433.5,239.8
3434,226.8
3434.5,229
3435,236
3435.5,221.5
3436,215.5
3436.5,196.8
3437,175.5
3437.5,184.8
3438,194
3438.5,206.8
3439,203.8
3439.5,218.5
3440,214.3
3440.5,209.8
3441,206.5
3441.5,201.5
3442,213.8
3442.5,216.5
3443,201.5
3443.5,198.5
3444,189
3444.5,181.3
3445,181.3
3445.5,202.3
3446,207.5
3446.5,231.3
3447,231.5
3447.5,224
3448,196.3
3448.5,204
3449,203
3449.5,230.3
3450,209
3450.5,202.5
3451,174.8
3451.5,163.5
3452,173.5
3452.5,166.8
3453,177.5
3453.5,189
3454,183.5
3454.5,176.8
3455,165.3
3455.5,177.8
3456,194.8
3456.5,186
3457,170.3
3457.5,171.5
3458,159.3
3458.5,157.3
3459,141
3459.5,147.5
3460,174
3460.5,172.3
3461,173.5
3461.5,171.5
3462,176.3
3462.5,179
3463,184.8
3463.5,183.8
3464,164.8
3464.5,167.8
3465,162.8
3465.5,159.8
3466,154.3
3466.5,150
3467,158
3467.5,168.5
3468,163.8
3468.5,149.3
3469,140.5
3469.5,133.8
3470,138.5
3470.5,132.3
3471,144
3471.5,117.8
3472,104.8
3472.5,111.8
3473,135
3473.5,132.8
3474,138.5
3474.5,149.3
3475,157.8
3475.5,157.3
3476,167.8
3476.5,173.5
3477,163.5
3477.5,154.3
3478,121.5
3478.5,125.3
3479,125.5
3479.5,114.8
3480,121.5
3480.5,123.8
3481,129.8
3481.5,142.5
3482,144.3
3482.5,159.8
3483,168.8
3483.5,171.3
3484,139.8
3484.5,121
3485,132.8
3485.5,126
3486,123.5
3486.5,117.3
3487,104.3
3487.5,99
3488,97.3
3488.5,95.3
3489,83
3489.5,79.5
3490,97.3
3490.5,98.5
3491,103.8
3491.5,103
3492,114.3
3492.5,116
3493,130
3493.5,110
3494,110.3
3494.5,118.8
3495,104.8
3495.5,94
3496,77.5
3496.5,64
3497,70
3497.5,95.5
3498,86.5
3498.5,114.3
3499,114.8
3499.5,127.3
3500,115.5
