A,S1
Wavelength,S1
nm,Microvolts
1000,168
1010,108
1020,58
1030,40
1040,13
1050,0
1060,3
1070,0
1080,8
1090,13
1100,15
1110,30
1120,50
1130,33
1140,40
1150,33
1160,33
1170,25
1180,20
1190,13
1200,3
1210,15
1220,15
1230,40
1240,53
1250,55
1260,70
1270,70
1280,70
1290,80
1300,95
1310,95
1320,93
1330,95
1340,93
1350,115
1360,120
1370,125
1380,133
1390,163
1400,188
1410,200
1420,218
1430,218
1440,218
1450,233
1460,250
1470,270
1480,288
1490,305
1500,320
1510,338
1520,363
1530,368
1540,383
1550,400
1560,420
1570,455
1580,490
1590,495
1600,508
1610,513
1620,553
1630,593
1640,618
1650,620
1660,628
1670,630
1680,633
1690,638
1700,653
1710,693
1720,720
1730,733
1740,743
1750,740
1760,758
1770,753
1780,763
1790,783
1800,835
1810,898
1820,960
1830,1003
1840,1030
1850,1063
1860,1055
1870,1055
1880,1085
1890,1115
1900,1150
1910,1185
1920,1210
1930,1230
1940,1260
1950,1280
1960,1323
1970,1350
1980,1375
1990,1423
2000,1465
2010,1493
2020,1493
2030,1515
2040,1528
2050,1573
2060,1590
2070,1623
2080,1655
2090,1678
2100,1718
2110,1718
2120,1750
2130,1775
2140,1800
2150,1798
2160,1835
2170,1860
2180,1868
2190,1873
2200,1905
2210,1910
2220,1875
2230,1885
2240,1903
2250,1865
2260,1798
2270,1748
2280,1690
2290,1640
2300,1610
2310,1585
2320,1588
2330,1613
2340,1600
2350,1618
2360,1578
2370,1528
2380,1548
2390,1548
2400,1568
2410,1635
2420,1740
2430,1855
2440,1928
2450,2005
2460,2090
2470,2188
2480,2248
2490,2273
2500,2280
2510,2293
2520,2303
2530,2298
2540,2285
2550,2235
2560,2165
2570,2075
2580,1953
2590,1805
2600,1698
2610,1598
2620,1535
2630,1515
2640,1565
2650,1680
2660,1818
2670,1865
2680,1740
2690,1535
2700,1435
2710,1380
2720,1278
2730,1105
2740,875
2750,678
2760,513
2770,403
2780,325
2790,258
2800,245
2810,253
2820,255
2830,250
2840,283
2850,320
2860,328
2870,375
2880,430
2890,490
2900,530
2910,575
2920,605
2930,638
2940,675
2950,713
2960,725
2970,738
2980,763
2990,795
3000,805
3010,828
3020,868
3030,868
3040,875
3050,903
3060,925
3070,950
3080,953
3090,960
3100,965
3110,993
3120,993
3130,998
3140,1023
3150,1030
3160,1003
3170,973
3180,950
3190,913
3200,868
3210,828
3220,778
3230,695
3240,650
3250,605
3260,540
3270,505
3280,505
3290,543
3300,615
3310,645
3320,630
3330,525
3340,395
3350,403
3360,468
3370,488
3380,465
3390,428
3400,405
3410,380
3420,375
3430,333
3440,318
3450,275
3460,243
3470,225
3480,230
3490,205
3500,175
3510,143
3520,125
3530,115
3540,100
3550,80
3560,68
3570,75
3580,75
3590,83
3600,88
3610,70
3620,78
3630,83
3640,80
3650,70
3660,55
3670,63
3680,78
3690,95
3700,80
3710,75
3720,63
3730,68
3740,65
3750,80
3760,120
3770,130
3780,128
3790,145
3800,158
3810,145
3820,115
3830,115
3840,118
3850,113
3860,105
3870,103
3880,105
3890,113
3900,105
3910,125
3920,103
3930,90
3940,93
3950,83
3960,80
3970,70
3980,80
3990,80
4000,80
4010,78
4020,78
4030,65
4040,88
4050,63
4060,55
4070,53
4080,38
4090,43
4100,33
4110,33
4120,45
4130,68
4140,63
4150,53
4160,55
4170,50
4180,43
4190,63
4200,83
4210,78
4220,58
4230,50
4240,43
4250,28
4260,8
4270,5
4280,0
4290,18
4300,25
4310,15
4320,13
4330,28
4340,40
4350,50
4360,43
4370,33
4380,68
4390,55
4400,63
4410,43
4420,25
4430,28
4440,13
4450,3
4460,13
4470,18
4480,25
4490,15
4500,13
