A,S1
Wavelength,S1
nm,Microvolts
3140,1277.3
3140.5,1277.3
3141,1277.3
3141.5,1277.3
3142,1277.3
3142.5,1277.3
3143,0
3143.5,1277.3
3144,1277.3
3144.5,1277.3
3145,1277.3
3145.5,1277.3
3146,1277.3
3146.5,1277.3
3147,1277.3
3147.5,1277.3
3148,1277.3
3148.5,1277.3
3149,1277.3
3149.5,1277.3
3150,1277.3
3150.5,1277.3
3151,1277.3
3151.5,1277.3
3152,1277.3
3152.5,1277.3
3153,1277.3
3153.5,1277.3
3154,1277.3
3154.5,1277.3
3155,1277.3
3155.5,1277.3
3156,1277.3
3156.5,1277.3
3157,1277.3
3157.5,1277.3
3158,1277.3
3158.5,1277.3
3159,1277.3
3159.5,1277.3
3160,1277.3
3160.5,1277.3
3161,1277.3
3161.5,1277.3
3162,1277.3
3162.5,1277.3
3163,1277.3
3163.5,1277.3
3164,1277.3
3164.5,1277.3
3165,1277.3
3165.5,1277.3
3166,1277.3
3166.5,1277.3
3167,1277.3
3167.5,1277.3
3168,1277.3
3168.5,1277.3
3169,1277.3
3169.5,1277.3
3170,1277.3
3170.5,1277.3
3171,1277.3
3171.5,1277.3
3172,1277.3
3172.5,1277.3
3173,1277.3
3173.5,1277.3
3174,1277.3
3174.5,1277.3
3175,1277.3
3175.5,1277.3
3176,1277.3
3176.5,1277.3
3177,1277.3
3177.5,1277.3
3178,1277.3
3178.5,1277.3
3179,1277.3
3179.5,1277.3
3180,1277.3
3180.5,1277.3
3181,1277.3
3181.5,1277.3
3182,1277.3
3182.5,1277.3
3183,1277.3
3183.5,1277.3
3184,1277.3
3184.5,1277.3
3185,1277.3
3185.5,1277.3
3186,1277.3
3186.5,1277.3
3187,1277.3
3187.5,1277.3
3188,1277.3
3188.5,1277.3
3189,1277.3
3189.5,1277.3
3190,1277.3
3190.5,1277.3
3191,1277.3
3191.5,1277.3
3192,1277.3
3192.5,1277.3
3193,1277.3
3193.5,1277.3
3194,1277.3
3194.5,1277.3
3195,1277.3
3195.5,1277.3
3196,1277.3
3196.5,1277.3
3197,1277.3
3197.5,1277.3
3198,1277.3
3198.5,1277.3
3199,1277.3
3199.5,1277.3
3200,1277.3
3200.5,1277.3
3201,1277.3
3201.5,1277.3
3202,1277.3
3202.5,1277.3
3203,1277.3
3203.5,1277.3
3204,1277.3
3204.5,1277.3
3205,1277.3
3205.5,1277.3
3206,1277.3
3206.5,1277.3
3207,1277.3
3207.5,1277.3
3208,1277.3
3208.5,1277.3
3209,1277.3
3209.5,1277.3
3210,1277.3
3210.5,1277.3
3211,1277.3
3211.5,1277.3
3212,1277.3
3212.5,1277.3
3213,1277.3
3213.5,1269.3
3214,1260.3
3214.5,1238.3
3215,1233.3
3215.5,1247.8
3216,1222.3
3216.5,1202.8
3217,1197.5
3217.5,1181
3218,1176.3
3218.5,1175.5
3219,1180.5
3219.5,1183
3220,0
3220.5,1160
3221,1153.5
3221.5,1142.3
3222,1136
3222.5,1137.5
3223,1150.5
3223.5,1139.5
3224,1137.3
3224.5,1111.8
3225,1109.5
3225.5,1096.8
3226,1085.5
3226.5,1082.3
3227,1071.3
3227.5,1068.3
3228,1045.8
3228.5,1053.5
3229,1058
3229.5,1062
3230,1039.3
3230.5,1041.3
3231,1049.5
3231.5,1051
3232,1057.3
3232.5,1079.8
3233,1090
3233.5,1079.3
3234,1057.5
3234.5,1060
3235,1036
3235.5,1031
3236,1033.3
3236.5,1039.8
3237,1045
3237.5,1055.5
3238,1039.8
3238.5,1013.8
3239,1008.8
3239.5,1005
3240,1000
3240.5,987.8
3241,1002.5
3241.5,1012.5
3242,1005.8
3242.5,975.3
3243,953.8
3243.5,942
3244,953.3
3244.5,968.8
3245,966.3
3245.5,953.3
3246,962.8
3246.5,976.3
3247,962.8
3247.5,956.3
3248,945
3248.5,930
3249,919
3249.5,929
3250,933.3
3250.5,908.8
3251,890.3
3251.5,895
3252,891.5
3252.5,904.5
3253,914
3253.5,893.3
3254,876.5
3254.5,876.5
3255,868
3255.5,872.3
3256,876
3256.5,871.3
3257,852.5
3257.5,854.3
3258,876.5
3258.5,887.5
3259,896
3259.5,896.3
3260,893.3
3260.5,882.8
3261,893.8
3261.5,907.8
3262,901.3
3262.5,898.8
3263,873.5
3263.5,875
3264,906.3
3264.5,917.5
3265,928.3
3265.5,919
3266,922.8
3266.5,931
3267,908.5
3267.5,918.3
3268,918.3
3268.5,913.5
3269,918.3
3269.5,918.8
3270,916
3270.5,904
3271,909
3271.5,919.8

3272.5,913.5
3273,905.8
3273.5,912.5
3274,932
3274.5,935.3
3275,919.5
3275.5,933.8
3276,932
3276.5,922
3277,940
3277.5,948.5
3278,955
3278.5,964
3279,961
3279.5,983.8
3280,984.8
3280.5,982.5
3281,1007.3
3281.5,1021
3282,1033.5
3282.5,1056.3
3283,1070.5
3283.5,1063.5
3284,1049.8
3284.5,1038.5
3285,1053
3285.5,1064.5
3286,1097.5
3286.5,1104.5
3287,1112.5
3287.5,1128.5
3288,1136
3288.5,1136
3289,1165.5
3289.5,1162.3
3290,1176.3
3290.5,1172.5
3291,1174.8
3291.5,1194.8
3292,1200.8
3292.5,1202.3
3293,1219.3
3293.5,1220.5
3294,1241.5
3294.5,1251.5
3295,1268.5
3295.5,1277.3
3296,1277.3
3296.5,1277.3
3297,1277.3
3297.5,1277.3
3298,1277.3
3298.5,1277.3
3299,1277.3
3299.5,1277.3
3300,1277.3
3300.5,1277.3
3301,1277.3
3301.5,1277.3
3302,1277.3
3302.5,1277.3
3303,1277.3
3303.5,1277.3
3304,1277.3
3304.5,1277.3
3305,1277.3
3305.5,1277.3
3306,1277.3
3306.5,1277.3
3307,1277.3
3307.5,1277.3
3308,1277.3
3308.5,1277.3
3309,1277.3
3309.5,1277.3
3310,1277.3
3310.5,1277.3
3311,1277.3
3311.5,1277.3
3312,1277.3
3312.5,1277.3
3313,1277.3
3313.5,1277.3
3314,1267.3
3314.5,1268.3
3315,1253.5
3315.5,1247
3316,1234.3
3316.5,1200.8
3317,1176.3
3317.5,1154.3
3318,1127.3
3318.5,1104.3

3319.5,1052
3320,1016
3320.5,1003.3
3321,949
3321.5,900.8
3322,867.8
3322.5,825.3
3323,788.8
3323.5,763.5
3324,730.3
3324.5,675.8
3325,626.5
3325.5,574.3
3326,540.8
3326.5,504.5
3327,489.8
3327.5,466.3
3328,448.3
3328.5,403
3329,383.5
3329.5,358.8
3330,341.5
3330.5,312.5
3331,274
3331.5,264.5
3332,262.8
3332.5,222.8
3333,227.3
3333.5,236.5
3334,234.8
3334.5,233.5
3335,235.3
3335.5,261.3
3336,270
3336.5,274.5
3337,287.8
3337.5,299.5
3338,324
3338.5,337
3339,371
3339.5,388.5
3340,397.5
3340.5,422.3
3341,450
3341.5,476.3
3342,498
3342.5,529.8
3343,577.8
3343.5,629.5
3344,665.3
3344.5,686.8
3345,714
3345.5,722.5
3346,754
3346.5,791.8
3347,837.8
3347.5,864
3348,876
3348.5,907.8
3349,937.8
3349.5,965
3350,969.5
3350.5,978.8
3351,987.5
3351.5,1009.5
3352,1046
3352.5,1043.8
3353,1050
3353.5,1062.3
3354,1060.8
3354.5,1034
3355,1032.5
3355.5,1044.5
3356,1073
3356.5,1093.5
3357,1075
3357.5,1062.5
3358,1059.8
3358.5,1054.5
3359,1061
3359.5,1078
3360,1045.8
3360.5,1023.3
3361,1027
3361.5,1021.5
3362,1024.5
3362.5,1039.3
3363,1015
3363.5,997.8
3364,966.5
3364.5,974.5
3365,974
3365.5,961
3366,964
3366.5,953.5
3367,930.3
3367.5,927.5
3368,928.3
3368.5,910.8
3369,901
3369.5,892.5
3370,900.8
3370.5,921.5
3371,901
3371.5,898.5
3372,897.8
3372.5,894.8
3373,895
3373.5,895.8
3374,872.5
3374.5,865
3375,852.8
3375.5,851.3
3376,844
3376.5,840.3
3377,830
3377.5,806.5
3378,812.3
3378.5,835.3
3379,826
3379.5,795.5
3380,799
3380.5,782.3
3381,791.5
3381.5,769.3
3382,778.5
3382.5,764.3
3383,756
3383.5,759.3
3384,767.8
3384.5,772.8
3385,781
3385.5,764.8
3386,739
3386.5,729
3387,721.5
3387.5,738
3388,739.3
3388.5,731.3
3389,723.8
3389.5,718.3
3390,733
3390.5,721
3391,721
3391.5,710
3392,705.5
3392.5,676.8
3393,635.3
3393.5,631.5
3394,651.8
3394.5,662.8
3395,667.5
3395.5,655.5
3396,622.3
3396.5,624.3
3397,617.3
3397.5,607
3398,598.3
3398.5,603.5
3399,615.3
3399.5,629.3
3400,623.3
3400.5,626.5
3401,610.3
3401.5,596.5
3402,601
3402.5,612.8
3403,608.5
3403.5,610.3
3404,612
3404.5,636.8

3405.5,597.8
3406,591.5
3406.5,594.8
3407,609
3407.5,619.8
3408,605.3
3408.5,594.5
3409,581.5
3409.5,589.8
3410,604.3
3410.5,583.5
3411,606
3411.5,604.5
3412,608
3412.5,587.8
3413,598.3
3413.5,593
3414,583
3414.5,578.5
3415,571
3415.5,572
3416,580.8
3416.5,572.8
3417,562.8
3417.5,552
3418,562.3
3418.5,564.5
3419,555.5
3419.5,546
3420,566.5
3420.5,590.5
3421,587.3
3421.5,574
3422,568.3
3422.5,565.5
3423,565.8
3423.5,566
3424,567.8
3424.5,557
3425,546.8
3425.5,551.8
3426,553
3426.5,554.8
3427,543.5
3427.5,523.3
3428,527.3
3428.5,531.3
3429,529.8
3429.5,538.5
3430,540
3430.5,544.3
3431,533.8
3431.5,511
3432,501.8
3432.5,496.8
3433,483.8
3433.5,496.8
3434,517.3
3434.5,499.5
3435,485.5
3435.5,483.8
3436,502.5
3436.5,515.8
3437,501
3437.5,492.5
3438,480
3438.5,488.3
3439,476.3
3439.5,477
3440,472
3440.5,473
3441,480.8
3441.5,480.5
3442,458
3442.5,428.5
3443,430
3443.5,458.5
3444,455.5
3444.5,441.3
3445,443.3
3445.5,429.8
3446,430.8
3446.5,440.5
3447,434.8
3447.5,425.8
3448,437
3448.5,446.3
3449,447.3
3449.5,428
3450,424.8
3450.5,433.5
3451,437.3
3451.5,429.8
3452,420.8
3452.5,413.5
3453,404.5
3453.5,397.5
3454,411
3454.5,428.8
3455,432.3
3455.5,414.5
3456,423.8
3456.5,419.5
3457,391.3
3457.5,393.3
3458,391.3
3458.5,398.8
3459,420.5
3459.5,404.3
3460,397.5
3460.5,398.5
3461,380.3
3461.5,371
3462,385.3
3462.5,370
3463,374.8
3463.5,382.8
3464,366.5
3464.5,356
3465,353.5
3465.5,358.5
3466,352.5
3466.5,368.3
3467,357.3
3467.5,364.5
3468,366
3468.5,367.5
3469,367
3469.5,383.8
3470,365
3470.5,363.5
3471,360.3
3471.5,363.3
3472,347.5
3472.5,329.8
3473,331.3
3473.5,343.5
3474,350
3474.5,345
3475,345
3475.5,352.5
3476,336.5
3476.5,335.8
3477,335.8
3477.5,325
3478,317
3478.5,318.8
3479,306.5
3479.5,304
3480,314.8
3480.5,299
3481,290
3481.5,278.3
3482,289.8
3482.5,298.5
3483,308.8
3483.5,327.8
3484,307.5
3484.5,285.8
3485,280
3485.5,279.8
3486,290
3486.5,293.3
3487,279.8
3487.5,283.3
3488,283.8
3488.5,269.8
3489,282.8
3489.5,278.8
3490,259.8
3490.5,282.3
3491,275
3491.5,278.3
3492,281.3
3492.5,274.5
3493,275.8
3493.5,270
3494,265.8
3494.5,256.5
3495,252.5
3495.5,250
3496,263.5
3496.5,247.5
3497,239.3
3497.5,242
3498,242.5
3498.5,227.5
3499,233.5
3499.5,242
3500,257.5
