A,S1
Wavelength,S1
nm,Microvolts
1000,301
1010,178
1020,116
1030,85
1040,71
1050,62
1060,53
1070,43
1080,38
1090,40
1100,41
1110,31
1120,25
1130,32
1140,13
1150,31
1160,47
1170,38
1180,52
1190,71
1200,57
1210,58
1220,60
1230,62
1240,62
1250,52
1260,72
1270,91
1280,78
1290,75
1300,76
1310,75
1320,95
1330,101
1340,108
1350,125
1360,145
1370,137
1380,143
1390,158
1400,171
1410,181
1420,200
1430,222
1440,241
1450,252
1460,268
1470,271
1480,295
1490,300
1500,301
1510,321
1520,345
1530,371
1540,378
1550,405
1560,415
1570,427
1580,425
1590,407
1600,431
1610,461
1620,476
1630,506
1640,525
1650,552
1660,570
1670,587
1680,601
1690,607
1700,617
1710,621
1720,645
1730,663
1740,683
1750,686
1760,677
1770,671
1780,688
1790,708
1800,786
1810,838
1820,892
1830,913
1840,923
1850,925
1860,923
1870,942
1880,973
1890,977
1900,1000
1910,1020
1920,1025
1930,1042
1940,1092
1950,1123
1960,1171
1970,1201
1980,1223
1990,1245
2000,1275
2010,1300
2020,1323
2030,1368
2040,1397
2050,1411
2060,1420
2070,1400
2080,1406
2090,1443
2100,1478
2110,1516
2120,1532
2130,1560
2140,1563
2150,1587
2160,1601
2170,1595
2180,1605
2190,1610
2200,1618
2210,1620
2220,1572
2230,1562
2240,1568
2250,1555
2260,1517
2270,1482
2280,1447
2290,1432
2300,1406
2310,1398
2320,1392
2330,1406
2340,1410
2350,1436
2360,1388
2370,1347
2380,1361
2390,1368
2400,1411
2410,1493
2420,1570
2430,1668
2440,1767
2450,1842
2460,1905
2470,1966
2480,1998
2490,2030
2500,2061
2510,2072
2520,2068
2530,2061
2540,2033
2550,1986
2560,1922
2570,1843
2580,1745
2590,1622
2600,1538
2610,1438
2620,1373
2630,1370
2640,1397
2650,1461
2660,1570
2670,1585
2680,1473
2690,1281
2700,1086
2710,852
2720,605
2730,420
2740,288
2750,208
2760,171
2770,152
2780,131
2790,137
2800,181
2810,250
2820,357
2830,463
2840,586
2850,733
2860,882
2870,1048
2880,1210
2890,1342
2900,1453
2910,1545
2920,1613
2930,1692
2940,1760
2950,1781
2960,1798
2970,1817
2980,1857
2990,1885
3000,1893
3010,1887
3020,1872
3030,1878
3040,1887
3050,1875
3060,1888
3070,1886
3080,1887
3090,1897
3100,1892
3110,1886
3120,1881
3130,1886
3140,1861
3150,1817
3160,1755
3170,1703
3180,1623
3190,1538
3200,1428
3210,1312
3220,1198
3230,1086
3240,992
3250,917
3260,842
3270,796
3280,776
3290,813
3300,930
3310,1046
3320,1036
3330,818
3340,600
3350,621
3360,788
3370,865
3380,896
3390,893
3400,857
3410,833
3420,842
3430,836
3440,832
3450,838
3460,877
3470,908
3480,962
3490,980
3500,995
3510,1030
3520,1098
3530,1163
3540,1207
3550,1180
3560,1113
3570,1117
3580,1148
3590,1165
3600,1170
3610,1173
3620,1181
3630,1187
3640,1186
3650,1163
3660,1163
3670,1151
3680,1152
3690,1121
3700,1113
3710,1096
3720,1076
3730,1045
3740,1015
3750,1005
3760,992
3770,986
3780,980
3790,971
3800,965
3810,955
3820,948
3830,938
3840,932
3850,946
3860,942
3870,948
3880,948
3890,931
3900,950
3910,955
3920,942
3930,962
3940,975
3950,925
3960,906
3970,927
3980,911
3990,900
4000,883
4010,851
4020,836
4030,820
4040,813
4050,796
4060,768
4070,738
4080,721
4090,708
4100,693
4110,682
4120,658
4130,636
4140,612
4150,593
4160,588
4170,567
4180,518
4190,520
4200,490
4210,467
4220,391
4230,327
4240,276
4250,228
4260,163
4270,131
4280,151
4290,143
4300,127
4310,118
4320,115
4330,110
4340,118
4350,126
4360,138
4370,128
4380,147
4390,143
4400,140
4410,146
4420,137
4430,133
4440,126
4450,131
4460,132
4470,147
4480,147
4490,138
4500,147
