A,S1
Wavelength,S1
nm,Microvolts
1000,490
1010,288
1020,180
1030,105
1040,55
1050,18
1060,-5
1070,-5
1080,-8
1090,-20
1100,-25
1110,-15
1120,0
1130,5
1140,8
1150,3
1160,-8
1170,15
1180,5
1190,-3
1200,5
1210,28
1220,28
1230,28
1240,43
1250,43
1260,45
1270,70
1280,95
1290,95
1300,83
1310,88
1320,90
1330,108
1340,120
1350,145
1360,158
1370,163
1380,150
1390,145
1400,153
1410,163
1420,165
1430,163
1440,180
1450,208
1460,258
1470,290
1480,303
1490,325
1500,340
1510,330
1520,355
1530,378
1540,388
1550,425
1560,445
1570,458
1580,475
1590,488
1600,490
1610,508
1620,528
1630,553
1640,575
1650,588
1660,615
1670,620
1680,625
1690,645
1700,675
1710,718
1720,750
1730,768
1740,770
1750,788
1760,775
1770,750
1780,778
1790,805
1800,860
1810,930
1820,980
1830,1003
1840,1030
1850,1025
1860,1030
1870,1043
1880,1068
1890,1100
1900,1128
1910,1160
1920,1178
1930,1185
1940,1205
1950,1248
1960,1275
1970,1298
1980,1330
1990,1343
2000,1393
2010,1418
2020,1448
2030,1480
2040,1518
2050,1550
2060,1565
2070,1575
2080,1588
2090,1623
2100,1650
2110,1675
2120,1725
2130,1750
2140,1780
2150,1823
2160,1828
2170,1850
2180,1868
2190,1878
2200,1905
2210,1943
2220,1965
2230,2000
2240,2028
2250,2053
2260,2065
2270,2098
2280,2113
2290,2123
2300,2093
2310,2093
2320,2128
2330,2153
2340,2175
2350,2193
2360,2218
2370,2243
2380,2250
2390,2278
2400,2300
2410,2323
2420,2348
2430,2363
2440,2400
2450,2398
2460,2390
2470,2393
2480,2398
2490,2388
2500,2393
2510,2410
2520,2420
2530,2433
2540,2413
2550,2385
2560,2315
2570,2223
2580,2115
2590,1998
2600,1880
2610,1780
2620,1703
2630,1675
2640,1685
2650,1765
2660,1923
2670,1968
2680,1848
2690,1640
2700,1580
2710,1623
2720,1698
2730,1710
2740,1693
2750,1693
2760,1703
2770,1678
2780,1610
2790,1590
2800,1625
2810,1673
2820,1728
2830,1773
2840,1843
2850,1903
2860,1948
2870,2000
2880,2055
2890,2115
2900,2173
2910,2218
2920,2238
2930,2248
2940,2278
2950,2293
2960,2298
2970,2303
2980,2313
2990,2315
3000,2315
3010,2310
3020,2273
3030,2265
3040,2268
3050,2273
3060,2253
3070,2203
3080,2198
3090,2198
3100,2203
3110,2185
3120,2185
3130,2173
3140,2153
3150,2153
3160,2155
3170,2150
3180,2138
3190,2148
3200,2153
3210,2148
3220,2123
3230,2103
3240,2088
3250,2098
3260,2078
3270,2088
3280,2068
3290,2063
3300,2063
3310,2060
3320,2043
3330,2053
3340,2030
3350,2015
3360,2010
3370,2003
3380,2025
3390,2015
3400,2003
3410,1978
3420,1985
3430,1965
3440,1960
3450,1935
3460,1930
3470,1923
3480,1915
3490,1893
3500,1875
3510,1848
3520,1828
3530,1843
3540,1848
3550,1853
3560,1860
3570,1878
3580,1875
3590,1865
3600,1860
3610,1850
3620,1840
3630,1835
3640,1823
3650,1805
3660,1790
3670,1810
3680,1803
3690,1788
3700,1798
3710,1785
3720,1775
3730,1765
3740,1768
3750,1748
3760,1735
3770,1723
3780,1703
3790,1685
3800,1705
3810,1703
3820,1700
3830,1675
3840,1678
3850,1690
3860,1660
3870,1630
3880,1640
3890,1630
3900,1623
3910,1628
3920,1635
3930,1638
3940,1613
3950,1605
3960,1588
3970,1590
3980,1573
3990,1573
4000,1565
4010,1550
4020,1540
4030,1530
4040,1525
4050,1500
4060,1498
4070,1480
4080,1485
4090,1473
4100,1453
4110,1438
4120,1423
4130,1410
4140,1413
4150,1400
4160,1398
4170,1403
4180,1428
4190,1415
4200,1378
4210,1305
4220,1135
4230,905
4240,690
4250,515
4260,433
4270,430
4280,433
4290,415
4300,405
4310,408
4320,430
4330,500
4340,575
4350,690
4360,803
4370,898
4380,960
4390,1025
4400,1073
4410,1080
4420,1085
4430,1073
4440,1060
4450,1053
4460,1050
4470,1053
4480,1030
4490,1015
4500,1010
