A,S1
Wavelength,S1
nm,Microvolts
3140,-25
3140.5,-10
3141,15
3141.5,-3
3142,-11
3142.5,-6.5
3143,-13
3143.5,-4
3144,-1.5
3144.5,1
3145,-3
3145.5,-7.5
3146,-5
3146.5,-1
3147,-14
3147.5,-13
3148,-27.5
3148.5,-26.5
3149,-28
3149.5,-44
3150,-45
3150.5,-39
3151,-23
3151.5,-9
3152,-27.5
3152.5,-28.5
3153,-6
3153.5,-0.5
3154,-7.5
3154.5,-10.5
3155,-32.5
3155.5,-45.5
3156,-46.5
3156.5,-31
3157,-20
3157.5,-18
3158,2.5
3158.5,1.5
3159,6
3159.5,9
3160,-4
3160.5,2.5
3161,3
3161.5,9
3162,-1.5
3162.5,-21
3163,-17.5
3163.5,-23
3164,-26
3164.5,-20.5
3165,-3
3165.5,-6
3166,-11.5
3166.5,3.5
3167,-7.5
3167.5,16.5
3168,33
3168.5,10
3169,-30
3169.5,-47.5
3170,-40.5
3170.5,-24
3171,11
3171.5,7.5
3172,-5.5
3172.5,-26
3173,-25
3173.5,-14
3174,0.5
3174.5,-4
3175,-31.5
3175.5,-30
3176,-13.5
3176.5,-5.5
3177,-8
3177.5,-9
3178,11.5
3178.5,-5.5
3179,-4
3179.5,-5.5
3180,-18
3180.5,-32.5
3181,-30
3181.5,-21.5
3182,-20.5
3182.5,-3
3183,3.5
3183.5,-5.5
3184,-12.5
3184.5,-5.5
3185,20.5
3185.5,18.5
3186,-18.5
3186.5,-14
3187,3
3187.5,3
3188,-6.5
3188.5,-10
3189,-1
3189.5,6.5
3190,15
3190.5,19
3191,-6.5
3191.5,0
3192,3
3192.5,-1
3193,3
3193.5,-9
3194,-26.5
3194.5,-13
3195,-18.5
3195.5,-26.5
3196,-34
3196.5,-36.5
3197,-21
3197.5,-31
3198,-25
3198.5,-28.5
3199,-32.5
3199.5,-13
3200,5
3200.5,-20
3201,-46
3201.5,-38.5
3202,-26.5
3202.5,-30
3203,-13.5
3203.5,-8
3204,-5
3204.5,-30.5
3205,-38
3205.5,-30
3206,-10
3206.5,-13
3207,-30
3207.5,-19
3208,-26.5
3208.5,-25.5
3209,-27.5
3209.5,-14
3210,-2.5
3210.5,-5
3211,-11
3211.5,-10
3212,-2.5
3212.5,0.5
3213,13
3213.5,1
3214,-13.5
3214.5,-35
3215,-33.5
3215.5,-37.5
3216,-31.5
3216.5,-25.5
3217,-20
3217.5,1.5
3218,-5.5
3218.5,-17.5
3219,-37.5
3219.5,-16.5
3220,-10
3220.5,-14
3221,-20
3221.5,-38
3222,-42.5
3222.5,-10.5
3223,-16
3223.5,-13
3224,-3.5
3224.5,-2.5
3225,-5.5
3225.5,5
3226,15
3226.5,0
3227,-6
3227.5,5
3228,10.5
3228.5,5
3229,3.5
3229.5,-2.5
3230,-5.5
3230.5,-4
3231,-4
3231.5,-19
3232,-28
3232.5,-25
3233,-23.5
3233.5,0
3234,2.5
3234.5,-6.5
3235,-18.5
3235.5,-1
3236,-3
3236.5,-4
3237,-28.5
3237.5,-28.5
3238,-34
3238.5,-27.5
3239,5
3239.5,41
3240,41
3240.5,23.5
3241,3.5
3241.5,16
3242,23
3242.5,9
3243,3.5
3243.5,11.5
3244,3.5
3244.5,-5
3245,-10
3245.5,-6.5
3246,-16.5
3246.5,1.5
3247,-5
3247.5,10
3248,16.5
3248.5,16
3249,11.5
3249.5,-6.5
3250,-8
3250.5,-8
3251,-23
3251.5,-8
3252,-9
3252.5,-2.5
3253,21.5
3253.5,4
3254,1.5
3254.5,25.5
3255,23
3255.5,11.5
3256,16.5
3256.5,34
3257,33.5
3257.5,28
3258,22.5
3258.5,8
3259,-11.5
3259.5,-1.5
3260,7.5
3260.5,4
3261,-13.5
3261.5,-32.5
3262,-26
3262.5,-26.5
3263,-35.5
3263.5,-30
3264,2.5
3264.5,7.5
3265,-3
3265.5,6.5
3266,9
3266.5,-0.5
3267,6
3267.5,-1
3268,-15.5
3268.5,-20
3269,-6
3269.5,3.5
3270,1
3270.5,-1.5
3271,-14
3271.5,-26.5
3272,-11
3272.5,-6.5
3273,-16
3273.5,-11
3274,8.5
3274.5,21
3275,10.5
3275.5,11
3276,21
3276.5,14
3277,6.5
3277.5,-16
3278,0.5
3278.5,-2.5
3279,5.5
3279.5,2.5
3280,6
3280.5,15
3281,10.5
3281.5,-3.5
3282,7.5
3282.5,27.5
3283,18.5
3283.5,-1.5
3284,18.5
3284.5,35.5
3285,26.5
3285.5,-1
3286,-30
3286.5,-25
3287,-6
3287.5,4
3288,-3
3288.5,0.5
3289,18.5
3289.5,16.5
3290,9
3290.5,-0.5
3291,-15
3291.5,-13.5
3292,-8.5
3292.5,-28.5
3293,-40.5
3293.5,-19
3294,0
3294.5,1
3295,0
3295.5,12.5
3296,19
3296.5,25
3297,28.5
3297.5,30.5
3298,43
3298.5,33.5
3299,40
3299.5,22.5
3300,4
3300.5,21
3301,0.5
3301.5,-8.5
3302,-3
3302.5,11.5
3303,18
3303.5,25.5
3304,26
3304.5,20.5
3305,-1
3305.5,-15.5
3306,-36.5
3306.5,-30
3307,-33.5
3307.5,-30
3308,-42.5
3308.5,-46
3309,-18.5
3309.5,8.5
3310,16.5
3310.5,13
3311,10.5
3311.5,8.5
3312,12.5
3312.5,22.5
3313,9
3313.5,-17.5
3314,-13
3314.5,-18
3315,-21.5
3315.5,-28
3316,-24
3316.5,-33.5
3317,-46.5
3317.5,-33.5
3318,-25
3318.5,-16
3319,-17.5
3319.5,-48.5
3320,-54
3320.5,-29
3321,-24
3321.5,-31
3322,-21.5
3322.5,-20
3323,-13
3323.5,-5.5
3324,7.5
3324.5,3.5
3325,2.5
3325.5,1
3326,8.5
3326.5,-1
3327,-40.5
3327.5,-27.5
3328,-21.5
3328.5,-29
3329,-11
3329.5,0
3330,-1
3330.5,10
3331,20
3331.5,24
3332,19
3332.5,10
3333,5
3333.5,8
3334,26.5
3334.5,35
3335,25
3335.5,14
3336,0
3336.5,-22.5
3337,-18.5
3337.5,-1.5
3338,-8.5
3338.5,-6
3339,-18
3339.5,-7.5
3340,23
3340.5,-13
3341,-4
3341.5,16.5
3342,3.5
3342.5,-28.5
3343,-8
3343.5,3
3344,10
3344.5,-4
3345,-12.5
3345.5,-0.5
3346,22.5
3346.5,28.5
3347,16
3347.5,3
3348,10.5
3348.5,16
3349,33
3349.5,33.5
3350,18
3350.5,-1
3351,-15.5
3351.5,-21
3352,-11
3352.5,15
3353,6
3353.5,-16
3354,-28
3354.5,-34
3355,-22.5
3355.5,-5
3356,-11.5
3356.5,-25
3357,-11.5
3357.5,-20.5
3358,-15.5
3358.5,-13
3359,-10.5
3359.5,-16.5
3360,-36
3360.5,-36.5
3361,-35
3361.5,-48
3362,-31.5
3362.5,-17.5
3363,5
3363.5,12.5
3364,6.5
3364.5,20
3365,13.5
3365.5,14
3366,-0.5
3366.5,-21.5
3367,-4
3367.5,-6
3368,-1
3368.5,15.5
3369,15.5
3369.5,-2.5
3370,3.5
3370.5,-16.5
3371,-6
3371.5,-10
3372,-22.5
3372.5,-12.5
3373,5
3373.5,0
3374,3
3374.5,8.5
3375,-1
3375.5,1
3376,13
3376.5,11.5
3377,-5.5
3377.5,-21.5
3378,-16
3378.5,-1.5
3379,6.5
3379.5,21
3380,-3
3380.5,-21
3381,-13
3381.5,-12.5
3382,-19
3382.5,-25
3383,1
3383.5,5.5
3384,7.5
3384.5,22.5
3385,16.5
3385.5,-6
3386,-40
3386.5,-35.5
3387,-30
3387.5,-20.5
3388,-5
3388.5,6
3389,-8
3389.5,0
3390,-11.5
3390.5,-40.5
3391,-45
3391.5,-38.5
3392,-34
3392.5,-20.5
3393,-9
3393.5,1.5
3394,5.5
3394.5,6
3395,2.5
3395.5,2.5
3396,-10.5
3396.5,-8
3397,-11
3397.5,-4
3398,20
3398.5,16
3399,10
3399.5,7.5
3400,21
3400.5,4
3401,1.5
3401.5,5
3402,11.5
3402.5,15
3403,15.5
3403.5,-9
3404,-12.5
3404.5,-5
3405,5
3405.5,19
3406,13.5
3406.5,3.5
3407,-10
3407.5,-18
3408,-23
3408.5,-13.5
3409,8
3409.5,10
3410,6.5
3410.5,5
3411,-6.5
3411.5,5.5
3412,3.5
3412.5,17.5
3413,25
3413.5,3.5
3414,1
3414.5,-14
3415,-26.5
3415.5,-22.5
3416,-16
3416.5,-1.5
3417,1
3417.5,-0.5
3418,-7.5
3418.5,1
3419,-7.5
3419.5,5
3420,-10
3420.5,-1.5
3421,-10.5
3421.5,-4
3422,2.5
3422.5,1.5
3423,19
3423.5,16
3424,4
3424.5,2.5
3425,5.5
3425.5,-13.5
3426,-31.5
3426.5,-33.5
3427,-33.5
3427.5,-13.5
3428,0
3428.5,-11.5
3429,-6.5
3429.5,-4
3430,4
3430.5,14
3431,36
3431.5,19
3432,0
3432.5,7.5
3433,11
3433.5,19
3434,0.5
3434.5,-0.5
3435,3
3435.5,10
3436,11
3436.5,7.5
3437,3.5
3437.5,-8
3438,-21
3438.5,-13.5
3439,5.5
3439.5,30.5
3440,20
3440.5,28
3441,25
3441.5,-0.5
3442,17.5
3442.5,41.5
3443,11.5
3443.5,0
3444,6.5
3444.5,5.5
3445,-1
3445.5,17.5
3446,3.5
3446.5,6.5
3447,3
3447.5,-11
3448,-22.5
3448.5,-28.5
3449,-6
3449.5,-4
3450,-31
3450.5,-36.5
3451,-26.5
3451.5,-8.5
3452,1.5
3452.5,-0.5
3453,10
3453.5,29
3454,33
3454.5,16
3455,-8
3455.5,-15
3456,-18
3456.5,-11
3457,-21.5
3457.5,-25.5
3458,-19
3458.5,-19
3459,-3
3459.5,8.5
3460,2.5
3460.5,-8
3461,-10.5
3461.5,-10
3462,0.5
3462.5,-1.5
3463,-9
3463.5,-1
3464,-1.5
3464.5,2.5
3465,13
3465.5,6.5
3466,-6.5
3466.5,-10.5
3467,11
3467.5,27.5
3468,27.5
3468.5,30
3469,11
3469.5,-12.5
3470,-0.5
3470.5,4
3471,14
3471.5,23.5
3472,6.5
3472.5,-10.5
3473,-18
3473.5,-6
3474,2.5
3474.5,16.5
3475,21.5
3475.5,15
3476,6
3476.5,-12.5
3477,-18
3477.5,-12.5
3478,0.5
3478.5,-18
3479,-18
3479.5,-10
3480,3.5
3480.5,11.5
3481,-3.5
3481.5,8.5
3482,-10
3482.5,-24
3483,-12.5
3483.5,-1
3484,5.5
3484.5,-13.5
3485,-14
3485.5,-19
3486,-16
3486.5,-15.5
3487,-17.5
3487.5,-10
3488,-13
3488.5,-5.5
3489,4
3489.5,1
3490,-20
3490.5,-1
3491,22.5
3491.5,37.5
3492,43.5
3492.5,40
3493,19
3493.5,15.5
3494,12.5
3494.5,21
3495,27.5
3495.5,43.5
3496,52.5
3496.5,50.5
3497,29
3497.5,15
3498,5
3498.5,-9
3499,-11.5
3499.5,-26.5
3500,-36.5
