A,S1
Wavelength,S1
nm,Microvolts
1000,0.93
1010,9.15
1020,-10.63
1030,-25.3
1040,-47.33
1050,-47
1060,-15.23
1070,-1
1080,8.68
1090,4.7
1100,13.35
1110,16.85
1120,-1.5
1130,-3.75
1140,-4.53
1150,-5.18
1160,-1.13
1170,-5.58
1180,-13.48
1190,-30.35
1200,-14
1210,-1.28
1220,-0.18
1230,-0.55
1240,10.6
1250,13.5
1260,25.88
1270,29.6
1280,24.73
1290,15.88
1300,18.25
1310,12.78
1320,6.45
1330,14.55
1340,5.68
1350,4.7
1360,12.55
1370,22.4
1380,22.2
1390,25.85
1400,20.85
1410,14.38
1420,27.73
1430,16.13
1440,3.8
1450,-11.8
1460,-5.7
1470,-13.38
1480,-32.05
1490,-18.35
1500,-1.8
1510,-9.63
1520,-7.68
1530,-8.8
1540,-7.88
1550,9.55
1560,18.23
1570,24.98
1580,19
1590,17.88
1600,22.98
1610,22.23
1620,8.5
1630,11.93
1640,20.25
1650,27.45
1660,19.15
1670,29.8
1680,30.5
1690,28.35
1700,25.93
1710,41.05
1720,60.98
1730,49.8
1740,42.8
1750,30.43
1760,26.85
1770,22.78
1780,37.55
1790,38.43
1800,47.8
1810,57
1820,71.73
1830,58.95
1840,41
1850,51
1860,62.78
1870,55.1
1880,42.03
1890,32.23
1900,21.98
1910,21.58
1920,16.65
1930,17.98
1940,22.25
1950,41.7
1960,22.78
1970,14.85
1980,11.88
1990,29.18
2000,42.45
2010,68.43
2020,69.33
2030,63.15
2040,34.55
2050,68.2
2060,81.8
2070,76.7
2080,73.18
2090,56.98
2100,46.3
2110,57.08
2120,55.75
2130,40.43
2140,57.58
2150,61.85
2160,50.23
2170,58.63
2180,68.08
2190,78.55
2200,80.88
2210,73.15
2220,80.2
2230,92.4
2240,94.38
2250,80.33
2260,92.1
2270,86.68
2280,55.98
2290,47.43
2300,45.13
2310,66.85
2320,76.68
2330,73.15
2340,71.68
2350,69.18
2360,47.9
2370,51.03
2380,59.48
2390,60.35
2400,59.7
2410,57.73
2420,58.63
2430,61.83
2440,82.93
2450,89.1
2460,86.9
2470,85.68
2480,82
2490,83.33
2500,98.63
2510,101.28
2520,89.25
2530,96.25
2540,101.33
2550,109.3
2560,88.85
2570,88.13
2580,87.5
2590,78.83
2600,77.08
2610,65.68
2620,56.63
2630,59.13
2640,62.13
2650,79.7
2660,83.93
2670,65.63
2680,54.73
2690,40.15
2700,45.93
2710,59.7
2720,77.83
2730,92.68
2740,81.93
2750,85.05
2760,67.8
2770,53.1
2780,44.43
2790,42.18
2800,30.75
2810,52.23
2820,55.03
2830,68.08
2840,65.55
2850,72.15
2860,72.93
2870,54.63
2880,40.5
2890,49.13
2900,54.9
2910,53.1
2920,65.55
2930,72.45
2940,74.78
2950,70.05
2960,76.55
2970,96.08
2980,89.5
2990,95.15
3000,106.98
3010,114.58
3020,103.73
3030,98.88
3040,76.23
3050,92.03
3060,104.93
3070,96.15
3080,94.38
3090,96.03
3100,97.35
3110,94.9
3120,89.9
3130,93.03
3140,77.58
3150,77.08
3160,83.03
3170,87.85
3180,101.28
3190,78.45
3200,75.78
3210,79.45
3220,85
3230,80.18
3240,74.05
3250,66.1
3260,86.75
3270,69.6
3280,60.98
3290,62.75
3300,65.63
3310,78.3
3320,95.48
3330,93.5
3340,73.4
3350,71.18
3360,75.55
3370,55.38
3380,49.6
3390,51.25
3400,60.28
3410,48
3420,44.83
3430,40.83
3440,27.98
3450,27.73
3460,38.05
3470,32.78
3480,40.8
3490,57.33
3500,66
3510,65
3520,65.95
3530,53.5
3540,48.75
3550,37.43
3560,35.03
3570,53.88
3580,51.18
3590,52.23
3600,68.98
3610,63.58
3620,57.9
3630,58.73
3640,63.48
3650,67.3
3660,76.68
3670,74.7
3680,75.83
3690,71.73
3700,66.18
3710,62.58
3720,61.2
3730,53.28
3740,46.53
3750,36.1
3760,38.43
3770,41.63
3780,55.73
3790,58.88
3800,58.9
3810,42
3820,36.33
3830,52.73
3840,77.7
3850,67.8
3860,78.05
3870,77.05
3880,48.3
3890,48.93
3900,46.8
3910,64.35
3920,72.3
3930,77.4
3940,82.9
3950,92.55
3960,72.08
3970,53.75
3980,51.35
3990,50.5
4000,66.35
4010,81.3
4020,82.88
4030,62.58
4040,47.28
4050,46.88
4060,35.98
4070,44.4
4080,34.08
4090,40.4
4100,53.88
4110,71.45
4120,65.48
4130,62.53
4140,53.03
4150,47.05
4160,65.23
4170,60.7
4180,54.8
4190,58.2
4200,53.9
4210,44.65
4220,37.08
4230,27.58
4240,20.75
4250,19.95
4260,18.85
4270,34.8
4280,25
4290,19.33
4300,29.93
4310,52.75
4320,44.4
4330,23.58
4340,12.1
4350,21.85
4360,41.8
4370,48.35
4380,32.03
4390,23.85
4400,33.83
4410,38.23
4420,47.75
4430,61.15
4440,67.23
4450,59.58
4460,47.83
4470,45.5
4480,36.85
4490,19.85
4500,17.9
