A,S1
Wavelength,S1
nm,Microvolts
4150,1390
4150.5,1423
4151,1428
4151.5,1425
4152,1400
4152.5,1410
4153,1413
4153.5,1415
4154,1410
4154.5,1410
4155,1403
4155.5,1410
4156,1425
4156.5,1413
4157,1413
4157.5,1415
4158,1423
4158.5,1393
4159,1398
4159.5,1390
4160,1390
4160.5,1405
4161,1398
4161.5,1405
4162,1410
4162.5,1403
4163,1400
4163.5,1398
4164,1385
4164.5,1375
4165,1355
4165.5,1365
4166,1360
4166.5,1348
4167,1343
4167.5,1335
4168,1335
4168.5,1343
4169,1365
4169.5,1363
4170,1373
4170.5,1373
4171,1368
4171.5,1378
4172,1373
4172.5,1388
4173,1380
4173.5,1380
4174,1385
4174.5,1365
4175,1368
4175.5,1368
4176,1373
4176.5,1365
4177,1365
4177.5,1353
4178,1365
4178.5,1365
4179,1353
4179.5,1353
4180,1353
4180.5,1348
4181,1343
4181.5,1355
4182,1373
4182.5,1380
4183,1378
4183.5,1365
4184,1365
4184.5,1350
4185,1353
4185.5,1355
4186,1365
4186.5,1368
4187,1365
4187.5,1363
4188,1373
4188.5,1365
4189,1343
4189.5,1335
4190,1340
4190.5,1355
4191,1348
4191.5,1348
4192,1338
4192.5,1328
4193,1323
4193.5,1310
4194,1303
4194.5,1318
4195,1338
4195.5,1340
4196,1323
4196.5,1305
4197,1305
4197.5,1310
4198,1298
4198.5,1288
4199,1280
4199.5,1293
4200,1275
4200.5,1263
4201,1250
4201.5,1235
4202,1238
4202.5,1250
4203,1240
4203.5,1228
4204,1223
4204.5,1210
4205,1193
4205.5,1173
4206,1155
4206.5,1148
4207,1135
4207.5,1105
4208,1078
4208.5,1065
4209,1048
4209.5,1028
4210,1015
4210.5,1005
4211,993
4211.5,980
4212,975
4212.5,960
4213,913
4213.5,898
4214,868
4214.5,868
4215,848
4215.5,840
4216,838
4216.5,823
4217,800
4217.5,788
4218,758
4218.5,753
4219,740
4219.5,738
4220,703
4220.5,678
4221,663
4221.5,630
4222,615
4222.5,615
4223,603
4223.5,603
4224,575
4224.5,558
4225,555
4225.5,540
4226,513
4226.5,495
4227,480
4227.5,465
4228,455
4228.5,455
4229,450
4229.5,443
4230,428
4230.5,420
4231,415
4231.5,405
4232,403
4232.5,378
4233,345
4233.5,358
4234,358
4234.5,368
4235,353
4235.5,328
4236,320
4236.5,338
4237,330
4237.5,333
4238,318
4238.5,305
4239,295
4239.5,303
4240,300
4240.5,290
4241,290
4241.5,313
4242,313
4242.5,293
4243,268
4243.5,255
4244,245
4244.5,253
4245,253
4245.5,253
4246,263
4246.5,253
4247,270
4247.5,270
4248,295
4248.5,290
4249,300
4249.5,300
4250,300
4250.5,293
4251,290
4251.5,293
4252,305
4252.5,300
4253,313
4253.5,318
4254,328
4254.5,330
4255,340
4255.5,350
4256,355
4256.5,355
4257,363
4257.5,388
4258,413
4258.5,415
4259,413
4259.5,428
4260,443
4260.5,455
4261,463
4261.5,483
4262,503
4262.5,515
4263,525
4263.5,525
4264,528
4264.5,530
4265,533
4265.5,565
4266,568
4266.5,575
4267,558
4267.5,545
4268,533
4268.5,533
4269,540
4269.5,545
4270,543
4270.5,540
4271,525
4271.5,495
4272,488
4272.5,480
4273,463
4273.5,465
4274,450
4274.5,455
4275,453
4275.5,443
4276,443
4276.5,425
4277,418
4277.5,413
4278,400
4278.5,413
4279,403
4279.5,408
4280,395
4280.5,393
4281,390
4281.5,400
4282,400
4282.5,380
4283,378
4283.5,368
4284,383
4284.5,400
4285,400
4285.5,400
4286,388
4286.5,393
4287,380
4287.5,403
4288,405
4288.5,403
4289,393
4289.5,395
4290,400
4290.5,390
4291,395
4291.5,388
4292,380
4292.5,388
4293,390
4293.5,400
4294,408
4294.5,413
4295,415
4295.5,413
4296,395
4296.5,388
4297,388
4297.5,390
4298,415
4298.5,438
4299,430
4299.5,418
4300,413
4300.5,428
4301,433
4301.5,430
4302,428
4302.5,433
4303,443
4303.5,463
4304,450
4304.5,433
4305,425
4305.5,433
4306,445
4306.5,458
4307,445
4307.5,450
4308,440
4308.5,468
4309,495
4309.5,490
4310,495
4310.5,495
4311,480
4311.5,475
4312,475
4312.5,493
4313,493
4313.5,493
4314,500
4314.5,515
4315,525
4315.5,533
4316,530
4316.5,525
4317,528
4317.5,538
4318,550
4318.5,553
4319,558
4319.5,553
4320,563
4320.5,575
4321,595
4321.5,600
4322,590
4322.5,620
4323,643
4323.5,638
4324,640
4324.5,633
4325,628
4325.5,633
4326,628
4326.5,638
4327,655
4327.5,675
4328,693
4328.5,690
4329,705
4329.5,705
4330,703
4330.5,725
4331,738
4331.5,730
4332,740
4332.5,750
4333,745
4333.5,738
4334,743
4334.5,740
4335,755
4335.5,788
4336,795
4336.5,788
4337,793
4337.5,798
4338,788
4338.5,793
4339,795
4339.5,800
4340,810
4340.5,823
4341,855
4341.5,855
4342,843
4342.5,848
4343,828
4343.5,843
4344,873
4344.5,898
4345,898
4345.5,890
4346,903
4346.5,903
4347,880
4347.5,888
4348,905
4348.5,910
4349,913
4349.5,913
4350,928
4350.5,948
4351,948
4351.5,940
4352,943
4352.5,940
4353,935
4353.5,953
4354,955
4354.5,960
4355,955
4355.5,948
4356,955
4356.5,980
4357,985
4357.5,990
4358,998
4358.5,1000
4359,990
4359.5,978
4360,975
4360.5,993
4361,1010
4361.5,1028
4362,1028
4362.5,1015
4363,1023
4363.5,1005
4364,1015
4364.5,1013
4365,1015
4365.5,1023
4366,1018
4366.5,1023
4367,1048
4367.5,1053
4368,1050
4368.5,1053
4369,1065
4369.5,1075
4370,1068
4370.5,1050
4371,1028
4371.5,1030
4372,1068
4372.5,1075
4373,1080
4373.5,1085
4374,1105
4374.5,1123
4375,1115
4375.5,1105
4376,1085
4376.5,1080
4377,1080
4377.5,1078
4378,1078
4378.5,1078
4379,1090
4379.5,1100
4380,1110
4380.5,1093
4381,1075
4381.5,1075
4382,1090
4382.5,1113
4383,1125
4383.5,1128
4384,1140
4384.5,1138
4385,1123
4385.5,1125
4386,1110
4386.5,1125
4387,1130
4387.5,1130
4388,1128
4388.5,1123
4389,1105
4389.5,1098
4390,1103
4390.5,1110
4391,1115
4391.5,1090
4392,1090
4392.5,1090
4393,1075
4393.5,1088
4394,1103
4394.5,1128
4395,1138
4395.5,1130
4396,1115
4396.5,1105
4397,1100
4397.5,1093
4398,1098
4398.5,1100
4399,1085
4399.5,1063
4400,1078
