Lockin-Channel(X)	Lockin-Channel(Y)
1	13
2	-5
3	0
4	0
5	8
6	3
7	0
8	0
9	0
10	15
11	18
12	20
13	5
14	-13
15	-8
16	-15
17	-8
18	-8
19	-5
20	-15
21	-25
22	-18
23	-20
24	-5
25	-5
26	-3
27	3
28	8
29	0
30	-3
31	-3
32	-18
33	-3
34	3
35	0
36	-8
37	-15
38	-15
39	-15
40	-5
41	0
42	0
43	-5
44	-5
45	-8
46	-3
47	3
48	-3
49	-8
50	-30
51	-30
52	-13
53	-18
54	-5
55	-5
56	-13
57	0
58	-3
59	-3
60	-3
61	-5
62	5
63	0
64	-5
65	-5
66	-5
67	-3
68	3
69	25
70	20
71	13
72	15
73	13
74	8
75	0
76	-3
77	3
78	25
79	20
80	0
81	-18
82	-15
83	-3
84	13
85	18
86	18
87	13
88	0
89	5
90	0
91	5
92	25
93	5
94	-3
95	-5
96	0
97	-5
98	-20
99	-18
100	-3
101	-8
102	3
103	5
104	15
105	25
106	20
107	0
108	0
109	5
110	0
111	0
112	0
113	8
114	-8
115	-25
116	-18
117	0
118	15
119	43
120	38
121	30
122	15
123	0
124	-3
125	-13
126	-18
127	-13
128	-3
129	-8
130	-13
131	-18
132	-8
133	-3
134	-3
135	-5
136	-13
137	-5
138	0
139	-5
140	-8
141	-13
142	-5
143	-8
144	-33
145	-33
146	-8
147	0
148	-8
149	-8
150	-3
151	0
152	13
153	13
154	8
155	0
156	-8
157	0
158	0
159	3
160	-5
161	-5
162	0
163	0
164	15
165	20
166	15
167	5
168	-15
169	-28
170	-18
171	-5
172	20
173	38
174	43
175	38
176	8
177	0
178	0
179	-8
180	-20
181	-13
182	-13
183	-8
184	-15
185	-15
186	-25
187	-33
188	-40
189	-30
190	-20
191	5
192	8
193	8
194	5
195	0
196	0
197	0
198	0
199	5
200	5
201	15
202	5
203	3
204	18
205	30
206	8
207	-5
208	5
209	5
210	0
211	0
212	0
213	5
214	30
215	30
216	13
217	15
218	20
219	13
220	3
221	0
222	-3
223	3
224	13
225	3
226	-13
227	-3
228	-8
229	-15
230	3
231	3
232	13
233	3
234	-3
235	0
236	-3
237	3
238	0
239	5
240	-5
241	-15
242	-3
243	0
244	8
245	0
246	-15
247	-28
248	-30
249	-18
250	-3
251	-3
252	-3
253	-3
254	-13
255	-33
256	-28
257	-8
258	-18
259	-15
260	5
261	5
262	0
263	-5
264	0
265	0
266	18
267	20
268	15
269	5
270	13
271	13
272	25
273	25
274	25
275	20
276	20
277	18
278	8
279	20
280	40
281	38
282	13
283	-3
284	-13
285	-13
286	-13
287	-8
288	-20
289	-20
290	-15
291	0
292	5
293	-8
294	-28
295	-33
296	-30
297	-33
298	-28
299	-5
300	-8
301	-28
302	-13
303	3
304	18
305	8
306	8
307	3
308	-5
309	-3
310	15
311	25
312	30
313	15
314	0
315	-5
316	-5
317	-5
318	0
319	8
320	8
321	20
322	25
323	20
324	15
325	25
326	25
327	20
328	8
329	20
330	5
331	13
332	8
333	18
334	15
335	-3
336	-20
337	-18
338	-15
339	-30
340	-18
341	-20
342	-28
343	-20
344	-8
345	0
346	5
347	-3
348	5
349	15
350	28
351	28
352	15
353	15
354	8
355	13
356	0
357	-13
358	-8
359	-13
360	-5
361	-15
362	0
363	13
364	3
365	-8
366	0
367	0
368	13
369	15
370	5
371	0
372	3
373	-3
374	0
375	5
376	5
377	5
378	13
379	5
380	3
381	20
382	13
383	-3
384	-8
385	-8
386	8
387	13
388	28
389	15
390	0
391	-8
392	-8
393	-8
394	0
395	3
396	-3
