A,S1
Wavelength,S1
nm,Microvolts
3140,2380
3140.5,2353
3141,2338
3141.5,2318
3142,2310
3142.5,2303
3143,2300
3143.5,2298
3144,2303
3144.5,2298
3145,2293
3145.5,2278
3146,2278
3146.5,2288
3147,2285
3147.5,2285
3148,2290
3148.5,2285
3149,2260
3149.5,2273
3150,2260
3150.5,2253
3151,2260
3151.5,2260
3152,2253
3152.5,2260
3153,2280
3153.5,2275
3154,2275
3154.5,2268
3155,2248
3155.5,2225
3156,2228
3156.5,2228
3157,2223
3157.5,2215
3158,2210
3158.5,2223
3159,2218
3159.5,2198
3160,2175
3160.5,2185
3161,2188
3161.5,2190
3162,2193
3162.5,2178
3163,2185
3163.5,2178
3164,2180
3164.5,2168
3165,2173
3165.5,2173
3166,2160
3166.5,2148
3167,2138
3167.5,2118
3168,2115
3168.5,2113
3169,2115
3169.5,2110
3170,2105
3170.5,2085
3171,2085
3171.5,2078
3172,2075
3172.5,2068
3173,2073
3173.5,2068
3174,2043
3174.5,2050
3175,2065
3175.5,2050
3176,2035
3176.5,2043
3177,2025
3177.5,2018
3178,2018
3178.5,2010
3179,1998
3179.5,1993
3180,1985
3180.5,1978
3181,1973
3181.5,1973
3182,1955
3182.5,1950
3183,1938
3183.5,1935
3184,1918
3184.5,1900
3185,1903
3185.5,1893
3186,1875
3186.5,1885
3187,1888
3187.5,1880
3188,1860
3188.5,1860
3189,1840
3189.5,1823
3190,1813
3190.5,1813
3191,1805
3191.5,1810
3192,1803
3192.5,1773
3193,1748
3193.5,1743
3194,1755
3194.5,1773
3195,1778
3195.5,1765
3196,1748
3196.5,1743
3197,1730
3197.5,1713
3198,1703
3198.5,1693
3199,1685
3199.5,1673
3200,1668
3200.5,1675
3201,1675
3201.5,1678
3202,1663
3202.5,1630
3203,1615
3203.5,1630
3204,1635
3204.5,1623
3205,1603
3205.5,1623
3206,1600
3206.5,1578
3207,1585
3207.5,1588
3208,1573
3208.5,1560
3209,1560
3209.5,1565
3210,1565
3210.5,1553
3211,1530
3211.5,1505
3212,1498
3212.5,1500
3213,1505
3213.5,1500
3214,1475
3214.5,1443
3215,1423
3215.5,1415
3216,1403
3216.5,1410
3217,1425
3217.5,1410
3218,1398
3218.5,1403
3219,1410
3219.5,1410
3220,1405
3220.5,1398
3221,1380
3221.5,1353
3222,1340
3222.5,1303
3223,1305
3223.5,1315
3224,1315
3224.5,1303
3225,1303
3225.5,1313
3226,1310
3226.5,1298
3227,1278
3227.5,1273
3228,1288
3228.5,1275
3229,1278
3229.5,1263
3230,1253
3230.5,1253
3231,1248
3231.5,1240
3232,1250
3232.5,1243
3233,1223
3233.5,1215
3234,1210
3234.5,1215
3235,1235
3235.5,1238
3236,1240
3236.5,1248
3237,1228
3237.5,1205
3238,1175
3238.5,1173
3239,1175
3239.5,1168
3240,1173
3240.5,1178
3241,1180
3241.5,1178
3242,1168
3242.5,1148
3243,1143
3243.5,1150
3244,1148
3244.5,1140
3245,1123
3245.5,1113
3246,1123
3246.5,1105
3247,1113
3247.5,1130
3248,1098
3248.5,1053
3249,1055
3249.5,1053
3250,1043
3250.5,1053
3251,1065
3251.5,1053
3252,1060
3252.5,1063
3253,1063
3253.5,1060
3254,1060
3254.5,1063
3255,1050
3255.5,1060
3256,1048
3256.5,1048
3257,1043
3257.5,1035
3258,1038
3258.5,1043
3259,1063
3259.5,1050
3260,1035
3260.5,1048
3261,1048
3261.5,1038
3262,1040
3262.5,1040
3263,1050
3263.5,1053
3264,1053
3264.5,1060
3265,1050
3265.5,1063
3266,1075
3266.5,1060
3267,1053
3267.5,1055
3268,1065
3268.5,1053
3269,1053
3269.5,1060
3270,1063
3270.5,1068
3271,1075
3271.5,1103
3272,1105
3272.5,1115
3273,1105
3273.5,1098
3274,1088
3274.5,1103
3275,1118
3275.5,1130
3276,1135
3276.5,1173
3277,1180
3277.5,1168
3278,1160
3278.5,1180
3279,1175
3279.5,1190
3280,1190
3280.5,1198
3281,1210
3281.5,1223
3282,1225
3282.5,1230
3283,1225
3283.5,1243
3284,1250
3284.5,1278
3285,1290
3285.5,1298
3286,1303
3286.5,1315
3287,1340
3287.5,1353
3288,1355
3288.5,1363
3289,1365
3289.5,1373
3290,1390
3290.5,1425
3291,1435
3291.5,1443
3292,1440
3292.5,1448
3293,1465
3293.5,1488
3294,1513
3294.5,1528
3295,1525
3295.5,1550
3296,1560
3296.5,1578
3297,1603
3297.5,1605
3298,1588
3298.5,1580
3299,1600
3299.5,1590
3300,1593
3300.5,1605
3301,1615
3301.5,1603
3302,1630
3302.5,1653
3303,1673
3303.5,1663
3304,1648
3304.5,1663
3305,0
3305.5,1680
3306,1665
3306.5,1665
3307,1665
3307.5,1673
3308,1660
3308.5,1640
3309,1610
3309.5,1605
3310,1598
3310.5,1578
3311,1573
3311.5,1555
3312,1568
3312.5,1573
3313,1568
3313.5,1535
3314,1493
3314.5,1493
3315,1480
3315.5,1455
3316,1435
3316.5,1423
3317,1380
3317.5,1348
3318,1300
3318.5,1260
3319,1230
3319.5,1198
3320,1165
3320.5,1125
3321,1080
3321.5,1025
3322,993
3322.5,960
3323,910
3323.5,873
3324,825
3324.5,798
3325,750
3325.5,703
3326,663
3326.5,605
3327,555
3327.5,528
3328,500
3328.5,478
3329,445
3329.5,403
3330,358
3330.5,350
3331,330
3331.5,343
3332,330
3332.5,320
3333,303
3333.5,303
3334,293
3334.5,300
3335,308
3335.5,315
3336,325
3336.5,350
3337,390
3337.5,395
3338,400
3338.5,430
3339,453
3339.5,470
3340,500
3340.5,555
3341,588
3341.5,625
3342,640
3342.5,683
3343,708
3343.5,753
3344,788
3344.5,790
3345,825
3345.5,838
3346,878
3346.5,935
3347,973
3347.5,1023
3348,1048
3348.5,1068
3349,1100
3349.5,1130
3350,1150
3350.5,1175
3351,1198
3351.5,1230
3352,1265
3352.5,1278
3353,1293
3353.5,1278
3354,1265
3354.5,1285
3355,1303
3355.5,1290
3356,1275
3356.5,1255
3357,1265
3357.5,1260
3358,1260
3358.5,1263
3359,1253
3359.5,1228
3360,1210
3360.5,1198
3361,1200
3361.5,1198
3362,1190
3362.5,1173
3363,1155
3363.5,1153
3364,1138
3364.5,1130
3365,1128
3365.5,1123
3366,1123
3366.5,1098
3367,1078
3367.5,1068
3368,1085
3368.5,1088
3369,1078
3369.5,1085
3370,1103
3370.5,1085
3371,1078
3371.5,1063
3372,1043
3372.5,1048
3373,1048
3373.5,1025
3374,1005
3374.5,1005
3375,988
3375.5,968
3376,985
3376.5,1000
3377,980
3377.5,963
3378,955
3378.5,953
3379,960
3379.5,965
3380,978
3380.5,975
3381,965
3381.5,955
3382,953
3382.5,953
3383,938
3383.5,925
3384,923
3384.5,900
3385,890
3385.5,880
3386,875
3386.5,855
3387,855
3387.5,840
3388,840
3388.5,843
3389,868
3389.5,855
3390,840
3390.5,815
3391,810
3391.5,793
3392,0
3392.5,798
3393,800
3393.5,813
3394,795
3394.5,780
3395,775
3395.5,770
3396,768
3396.5,750
3397,740
3397.5,720
3398,708
3398.5,713
3399,705
3399.5,715
3400,718
3400.5,725
3401,725
3401.5,700
3402,703
3402.5,718
3403,705
3403.5,700
3404,718
3404.5,720
3405,715
3405.5,695
3406,718
3406.5,730
3407,738
3407.5,718
3408,688
3408.5,703
3409,718
3409.5,715
3410,708
3410.5,705
3411,708
3411.5,688
3412,680
3412.5,695
3413,690
3413.5,680
3414,678
3414.5,683
3415,690
3415.5,665
3416,658
3416.5,665
3417,680
3417.5,670
3418,683
3418.5,703
3419,675
3419.5,658
3420,650
3420.5,655
3421,665
3421.5,663
3422,643
3422.5,620
3423,595
3423.5,600
3424,595
3424.5,603
3425,605
3425.5,613
3426,603
3426.5,603
3427,593
3427.5,600
3428,608
3428.5,613
3429,630
3429.5,638
3430,618
3430.5,605
3431,628
3431.5,608
3432,595
3432.5,593
3433,583
3433.5,568
3434,570
3434.5,570
3435,565
3435.5,575
3436,595
3436.5,625
3437,620
3437.5,603
3438,593
3438.5,580
3439,578
3439.5,545
3440,550
3440.5,540
3441,545
3441.5,543
3442,520
3442.5,518
3443,513
3443.5,528
3444,530
3444.5,520
3445,518
3445.5,515
3446,515
3446.5,520
3447,533
3447.5,545
3448,533
3448.5,538
3449,525
3449.5,505
3450,508
3450.5,500
3451,488
3451.5,500
3452,500
3452.5,495
3453,488
3453.5,470
3454,463
3454.5,478
3455,478
3455.5,488
3456,480
3456.5,465
3457,450
3457.5,443
3458,455
3458.5,465
3459,455
3459.5,463
3460,458
3460.5,443
3461,433
3461.5,433
3462,408
3462.5,408
3463,413
3463.5,418
3464,425
3464.5,425
3465,428
3465.5,418
3466,418
3466.5,420
3467,440000
3467.5,440
3468,428
3468.5,425
3469,415
3469.5,405
3470,418
3470.5,433
3471,433
3471.5,433
3472,438
3472.5,425
3473,403
3473.5,405
3474,405
3474.5,393
3475,390
3475.5,403
3476,405
3476.5,400000
3477,395
3477.5,403
3478,408
3478.5,395
3479,400
3479.5,388
3480,393
3480.5,395
3481,383
3481.5,368
3482,358
3482.5,350
3483,343
3483.5,343
3484,345
3484.5,340
3485,343
3485.5,338
3486,343
3486.5,355
3487,345
3487.5,350
3488,338
3488.5,320
3489,313
3489.5,313
3490,318
3490.5,315
3491,308
3491.5,315
3492,318
3492.5,325
3493,300
3493.5,318
3494,313
3494.5,300
3495,288
3495.5,278
3496,258
3496.5,258
3497,283
3497.5,295
3498,313
3498.5,280
3499,268
3499.5,250
3500,255
